County,Precinct Name,Location Name,Address,City,State,Zip,Lat,Lng,Accuracy Score,VANPCTCODE
Cerro Gordo,Falls - Rock Falls Pct,ROCK FALLS COMMUNITY CENTER,3 NOTTINGHAM ST,ROCK FALLS,IA,50467,43.20748,-93.0832,1,946762
Cerro Gordo,Geneseo Twp Pct,"WEST FORM MIDDLE SCHOOL, LUNCHROOM",210 2ND ST S,ROCKWELL,IA,50469,42.98364,-93.1917,1,946765
Cerro Gordo,Grimes - Meservey Pct,MESERVEY LIBRARY,719 1ST ST,MESERVEY,IA,50457,42.91547,-93.4785,1,946764
Cerro Gordo,Grimes - Thornton Pct,THORNTON LIBRARY,412 MAIN ST,THORNTON,IA,50479,42.9438,-93.3845,1,946763
Cerro Gordo,Lake / Lincoln Twps Pct,CENTRAL RIVERS AEA,9184 265TH ST,CLEAR LAKE,IA,50428,43.15054,-93.3355,1,946766
Cerro Gordo,Lime Creek / Mason N Twps,LIME CREEK NATURE CENTER,3501 LIME CREEK RD,MASON CITY,IA,50401,43.18231,-93.1947,1,1593443
Cerro Gordo,Mason City W-1 P-1,"HARDING ELEMENTARY SCHOOL, ART ROOM",1239 N RHODE ISLAND AVE,MASON CITY,IA,50401,43.1633,-93.184,1,946767
Cerro Gordo,Mason City W-1 P-2,"HARDING ELEMENTARY SCHOOL, IC",1239 N RHODE ISLAND AVE,MASON CITY,IA,50401,43.1633,-93.184,1,946768
Cerro Gordo,Mason City W-1 P-3,"JEFFERSON ELEMENTARY SCHOOL, IC",1421 4TH ST SE,MASON CITY,IA,50401,43.14792,-93.1731,1,946769
Cerro Gordo,Mason City W-2 P-1,"HOOVER ELEMENTARY SCHOOL, ART ROOM",1123 8TH ST NW,MASON CITY,IA,50401,43.15841,-93.2185,1,946770
Cerro Gordo,Mason City W-2 P-2,"HOOVER ELEMENTARY SCHOOL, IC",1123 8TH ST NW,MASON CITY,IA,50401,43.15841,-93.2185,1,946771
Cerro Gordo,Mason City W-2 P-3,FIRST PRESBYTERIAN CHURCH MASON CITY,100 S PIERCE AVE,MASON CITY,IA,50401,43.15071,-93.2219,1,946772
Cerro Gordo,Mason City W-3 P-1,"MUSE-NORRIS CONFERENCE CENTER, ROOM A",500 COLLEGE DR.,MASON CITY,IA,50401,43.15663,-93.1354,1,946773
Cerro Gordo,Mason City W-3 P-2,"MUSE-NORRIS CONFERENCE CENTER, ROOM B",500 COLLEGE DR.,MASON CITY,IA,50401,43.15663,-93.1354,1,946774
Cerro Gordo,Mason City W-3 P-3,NIACC ACTIVITY CENTER,500 COLLEGE DR.,MASON CITY,IA,50401,43.15663,-93.1354,1,946775
Cerro Gordo,Mason City W-4 P-1,"ROOSEVELT ELEMENTARY SCHOOL, IC",313 15TH ST SE,MASON CITY,IA,50401,43.13712,-93.1935,1,946776
Cerro Gordo,Mason City W-4 P-2,"LINCOLN INTERMEDIATE SCHOOL, IC",1625 S PENNSYLVANIA AVE,MASON CITY,IA,50401,43.1355,-93.1983,1,946777
Cerro Gordo,Mason City W-4 P-3,"LINCOLN INTERMEDIATE SCHOOL, ATRIUM",1625 S PENNSYLVANIA AVE,MASON CITY,IA,50401,43.1355,-93.1983,1,946778
Cerro Gordo,Mason S / Bath Twps,"NIACC ACTIVITY CENTER, ROOM 100",500 COLLEGE DRIVE,MASON CITY,IA,50401,43.15663,-93.1354,1,1593444
Cerro Gordo,Mt Vernon - Pl Valley Twps,THORNTON COMMUNITY CENTER,333 MAIN ST,THORNTON,IA,50479,42.94332,-93.3832,1,946780
Cerro Gordo,Portland - Owen - Dougherty,DOUGHTERY TOWN HALL,81 E PATRICK ST,DOUGHTERY,IA,50433,42.92164,-93.0412,1,1593445
Cherokee,#1 Aurelia,AURELIA MIDDLE SCHOOL CAFETERIA,300 ASH ST.,AURELIA,IA,51005,42.71461,-95.4287,1,948239
