County,Precinct,Combined,Precinct ID,Delegates,Commit Goal,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold,Precinct Captains,MSQ Yang Support -1's,MSQ Yang Support - 2's,Total Support,298 Turnout
Lee,Ws Gb,Lee Ws Gb,1593597,10,36,27,12,0,0.00%,36,0,3,3,6,178
Linn,Cr01,Linn Cr01,1593598,5,57,43,20,0,0.00%,57,0,4,7,11,286
Linn,Cr02,Linn Cr02,1593599,5,48,36,16,2,5.60%,46,0,7,38,47,235
Linn,Cr03,Linn Cr03,1593600,5,55,40,18,1,2.50%,54,0,3,11,15,266
Linn,Cr04,Linn Cr04,1593601,5,53,41,19,2,4.90%,51,1,7,16,25,269
Linn,Cr05,Linn Cr05,1593602,6,70,53,24,2,3.80%,68,1,2,18,22,351
Linn,Cr06,Linn Cr06,1593603,6,65,49,22,1,2.00%,64,0,4,12,17,323
Linn,Cr07,Linn Cr07,1593604,4,44,35,16,1,2.90%,43,1,1,10,12,227
Linn,Cr08,Linn Cr08,1593605,5,51,40,18,3,7.50%,48,0,4,9,16,263
Linn,Cr09,Linn Cr09,1593606,5,41,31,14,5,16.10%,36,2,13,12,30,202
Linn,Cr10,Linn Cr10,1593607,7,100,73,33,0,0.00%,100,0,4,19,23,481
Linn,Cr11,Linn Cr11,1593608,6,70,53,24,2,3.80%,68,0,3,16,21,349
Linn,Cr12,Linn Cr12,1593609,8,126,95,44,1,1.10%,125,0,3,20,24,630
Linn,Cr13,Linn Cr13,1593610,6,70,52,24,0,0.00%,70,0,4,21,25,344
Linn,Cr14,Linn Cr14,1593611,6,90,67,31,3,4.50%,87,0,6,15,24,446
Linn,Cr15,Linn Cr15,1593612,5,74,54,25,1,1.90%,73,0,4,9,14,359
Linn,Cr16,Linn Cr16,1593613,6,90,67,31,2,3.00%,88,1,7,18,27,446
Linn,Cr17,Linn Cr17,1593614,6,54,41,19,1,2.40%,53,0,3,16,20,268
Linn,Cr18,Linn Cr18,1593615,4,56,43,20,1,2.30%,55,0,2,14,17,282
Linn,Cr19,Linn Cr19,1593616,7,86,65,30,0,0.00%,86,0,3,20,23,428
Linn,Cr20,Linn Cr20,1593617,7,83,62,29,3,4.80%,80,0,2,19,24,413
Linn,Cr21,Linn Cr21,1593618,7,97,73,34,2,2.70%,95,1,2,20,24,486
Linn,Cr22,Linn Cr22,1593619,4,27,20,9,0,0.00%,27,0,1,14,15,132
Linn,Cr23,Linn Cr23,1593620,6,88,66,30,1,1.50%,87,0,2,14,17,439
Linn,Cr24,Linn Cr24,1593621,8,154,115,53,0,0.00%,154,0,2,23,25,762
Linn,Cr25,Linn Cr25,1593622,9,175,130,60,0,0.00%,175,0,4,21,25,863
Linn,Cr26,Linn Cr26,1593623,9,156,116,53,4,3.40%,152,0,8,49,61,767
Linn,Cr27,Linn Cr27,1593624,5,63,47,22,4,8.50%,59,2,6,39,49,312
Linn,Cr28,Linn Cr28,1593625,7,91,68,31,0,0.00%,91,0,3,11,14,452
Linn,Cr29,Linn Cr29,1593626,6,77,57,26,4,7.00%,73,1,6,11,21,377
Linn,Cr30,Linn Cr30,1593627,7,92,70,32,1,1.40%,91,1,7,17,25,462
Linn,Cr31,Linn Cr31,1593628,8,105,79,36,2,2.50%,103,0,5,16,23,521
Linn,Cr32,Linn Cr32,1593629,6,66,50,23,1,2.00%,65,1,3,10,14,328
Linn,Cr33,Linn Cr33,1593630,6,73,56,25,2,3.60%,71,1,5,15,22,367
Linn,Cr34,Linn Cr34,1593631,6,63,48,22,2,4.20%,61,0,3,15,20,317
Linn,Cr35,Linn Cr35,1593632,6,74,56,26,3,5.40%,71,0,4,11,18,369
Linn,Cr36,Linn Cr36,1593633,8,118,88,40,3,3.40%,115,1,3,14,20,584
Linn,Cr37,Linn Cr37,1593634,7,97,72,33,2,2.80%,95,1,2,12,16,480
Linn,Cr38,Linn Cr38,1593635,5,48,37,17,1,2.70%,47,0,5,24,30,243
Linn,Cr39,Linn Cr39,1593636,8,82,63,29,3,4.80%,79,1,3,14,20,418
Linn,Cr40,Linn Cr40,1593637,5,51,39,18,0,0.00%,51,0,2,11,13,255
Linn,Cr41,Linn Cr41,1593638,7,83,63,29,5,7.90%,78,2,3,20,28,418
Linn,Cr42,Linn Cr42,1593639,5,44,34,16,0,0.00%,44,0,6,9,15,225
Linn,Cr43,Linn Cr43,1593640,4,38,29,13,2,6.90%,36,0,7,19,28,193
Linn,Cr44,Linn Cr44,1593641,3,22,17,10,0,0.00%,22,0,1,6,7,111
Linn,Fai,Linn Fai,1593642,5,54,41,19,2,4.90%,52,1,4,17,23,269
Linn,Hia01,Linn Hia01,1593643,6,79,60,28,2,3.30%,77,0,2,10,14,400
Linn,Hia02,Linn Hia02,1593644,4,41,31,14,1,3.20%,40,1,3,8,12,201
Linn,Hia03,Linn Hia03,1593645,2,17,14,19,1,7.10%,16,0,1,4,6,91
Linn,Hia04,Linn Hia04,1593646,1,8,7,3,0,0.00%,8,0,0,1,1,41
Linn,Mr01,Linn Mr01,1593647,5,59,44,20,2,4.50%,57,1,4,18,24,290
Linn,Mr02,Linn Mr02,1593648,3,36,28,17,0,0.00%,36,0,0,7,7,184
Linn,Mr03,Linn Mr03,1593649,5,58,45,20,0,0.00%,58,0,1,14,15,295
Linn,Mr04,Linn Mr04,1593650,4,40,30,14,2,6.70%,38,1,1,9,12,199
Linn,Mr05,Linn Mr05,1593651,8,108,82,38,3,3.70%,105,0,1,27,31,545
Linn,Mr06,Linn Mr06,1593652,7,93,71,32,1,1.40%,92,0,2,13,16,468
Linn,Mr07,Linn Mr07,1593653,6,64,49,22,2,4.10%,62,1,4,5,11,322
Linn,Mr08,Linn Mr08,1593654,6,72,54,25,0,0.00%,72,0,2,10,12,356
Linn,Mr09,Linn Mr09,1593655,5,55,41,19,1,2.40%,54,1,4,10,15,269
Linn,Mr10,Linn Mr10,1593656,5,52,40,18,0,0.00%,52,0,1,15,16,261
Linn,Mr11,Linn Mr11,1593657,6,57,44,20,3,6.80%,54,1,7,17,27,289
Linn,Mr12,Linn Mr12,1593658,3,38,29,17,1,3.40%,37,0,0,7,8,188
Linn,Mr13,Linn Mr13,1593659,6,52,40,18,1,2.50%,51,0,7,9,17,264
Linn,Mr14,Linn Mr14,1593660,4,45,35,16,2,5.70%,43,0,3,6,11,228
