County ,Precinct ,Combined ,Precinct ID,Delegates,Commit Goal ,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold ,Precinct Captains,MSQ Yang Support -1's ,MSQ Yang Support - 2's,Total Support,Weighted Support
Scott,D82,Scott D82,947897,7,53,40,18,1,2.5%,52,0,5,25,31,18
Scott,D83,Scott D83,947898,7,45,34,15,0,0.0%,45,0,2,20,22,12.5
Scott,D84,Scott D84,947899,5,44,34,15,0,0.0%,44,0,4,10,14,8.5
Scott,Dh,Scott Dh,1593753,1,4,3,1,0,0.0%,4,0,0,1,1,0.5
Scott,El1,Scott El1,947900,6,51,40,18,0,0.0%,51,0,2,13,15,8.5
Scott,El2,Scott El2,947911,5,41,31,14,0,0.0%,41,0,3,5,8,5
Scott,Hg,Scott Hg,947901,1,9,7,3,0,0.0%,9,0,0,1,1,0.5
Scott,Lb,Scott Lb,947903,1,8,6,3,0,0.0%,8,0,1,5,6,3
Scott,Lc1,Scott Lc1,1593754,4,36,27,12,2,7.4%,34,1,3,10,15,10
Scott,Lc2,Scott Lc2,1593755,4,26,20,9,1,5.0%,25,0,3,7,11,7.5
Scott,Lct,Scott Lct,1593756,2,19,14,19,1,7.1%,18,0,0,7,8,4
Scott,Lg,Scott Lg,1593757,2,16,12,16,0,0.0%,16,0,0,4,4,2
Scott,Mc,Scott Mc,1593758,1,10,8,3,0,0.0%,10,0,2,1,3,2.5
Scott,Pkv,Scott Pkv,1593759,4,27,21,9,0,0.0%,27,0,5,9,14,9
Scott,Pr,Scott Pr,947906,2,20,15,20,1,6.7%,19,1,0,6,7,3.5
Scott,Pv,Scott Pv,947905,2,11,9,11,0,0.0%,11,0,1,7,8,4
Scott,Rv,Scott Rv,947907,1,10,8,3,0,0.0%,10,0,1,2,3,2
Scott,Wc,Scott Wc,947909,3,21,17,10,0,0.0%,21,0,2,2,4,3
Scott,Wf,Scott Wf,947910,1,13,10,5,0,0.0%,13,0,0,1,1,0.5
Shelby,2,Shelby 02,947914,13,12,10,5,0,0.0%,12,0,1,1,2,2.5
Shelby,3,Shelby 03,947915,10,13,10,5,0,0.0%,13,0,0,1,1,0.5
Shelby,4,Shelby 04,947916,7,7,6,2,0,0.0%,7,0,0,1,1,0.5
Shelby,5,Shelby 05,947917,10,11,9,4,1,11.1%,10,0,0,2,3,2
Shelby,6,Shelby 06,947918,15,14,11,5,0,0.0%,14,0,1,2,3,2
Shelby,7,Shelby 07,947919,10,9,8,3,0,0.0%,9,0,1,1,2,2
Shelby,8,Shelby 08,947920,12,12,10,4,0,0.0%,12,0,0,2,2,1
Shelby,9,Shelby 09,947921,13,13,11,5,0,0.0%,13,0,1,1,2,1.5
Shelby,10,Shelby 10,947913,10,11,8,4,0,0.0%,11,0,0,3,3,1.5
Sioux,At,Sioux At,947922,7,13,11,5,0,0.0%,13,0,0,2,2,1
Sioux,Fl,Sioux Fl,947926,3,2,2,1,0,0.0%,2,0,0,2,2,1
Sioux,Gt,Sioux Gt,947927,3,6,5,3,0,0.0%,6,0,1,3,4,2.5
Sioux,Hw,Sioux Hw,947929,12,26,19,9,1,5.3%,25,0,1,5,7,3.5
Sioux,Ln,Sioux Ln,947930,4,9,7,3,0,0.0%,9,0,2,3,5,3.5
Sioux,Oc1,Sioux Oc1,947931,10,25,19,8,3,15.8%,22,0,5,9,17,11.5
Sioux,Oc2,Sioux Oc2,947932,11,17,14,6,3,21.4%,14,0,3,12,18,10.5
Sioux,Pl,Sioux Pl,947933,2,2,2,2,0,0.0%,2,0,0,1,1,0.5
Sioux,Rd,Sioux Rd,947934,2,3,3,3,0,0.0%,3,0,0,0,0,0
Sioux,Rve,Sioux Rve,1593760,4,7,6,2,0,0.0%,7,0,0,3,3,1.5
Sioux,Rvw,Sioux Rvw,1593761,3,4,4,2,0,0.0%,4,0,2,3,5,3
Sioux,Scc,Sioux Scc,1593762,7,12,9,4,0,0.0%,12,0,3,19,22,12.5
Sioux,Scn,Sioux Scn,1593763,4,5,4,2,1,25.0%,4,1,2,10,13,8
Sioux,Scs,Sioux Scs,1593764,6,8,7,3,0,0.0%,8,0,2,7,9,5.5
