County ,Precinct ,Combined ,Precinct ID,Region,Delegates,Commit Goal ,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold ,Precinct Captains,MSQ Yang Support -1's ,MSQ Yang Support - 2's,Total Support,Weighted Support,298 Turnout,2020 Turnout Prediction,True Commit Goal 
Cass,VI,Cass VI,946744,2,1,3,2,2,0,0.0%,3,0,0,0,0,0,11,15,2
Cedar,Cn,Cedar Cn,946745,4,8,28,24,13,1,4.2%,27,0,0,9,10,5.45,158,182,27
Cedar,Da,Cedar Da,946746,4,4,15,14,7,1,7.1%,14,0,2,4,7,4.25,90,95,14
Cedar,Fm,Cedar Fm,946747,4,8,29,18,14,2,11.1%,27,0,2,5,9,6.2,118,193,29
Cedar,Fr,Cedar Fr,946748,4,3,12,10,6,0,0.0%,12,0,1,5,6,2.9,64,74,11
Cedar,Gw,Cedar Gw,946749,4,7,24,36,12,1,2.8%,23,0,1,6,8,5.35,233,160,24
Cedar,In,Cedar In,946750,4,2,7,5,4,0,0.0%,7,0,2,2,4,2.3,28,45,7
Cedar,Ln,Cedar Ln,946751,4,7,24,24,12,0,0.0%,24,0,2,13,15,8.3,158,160,24
Cedar,Ma,Cedar Ma,946752,4,4,15,12,7,1,8.3%,14,0,0,2,3,1.95,75,97,15
Cedar,Tt1,Cedar Tt1,946753,4,4,12,9,6,1,11.1%,11,0,1,3,5,2.85,57,77,12
Cedar,Tt2,Cedar Tt2,946754,4,4,13,17,7,0,0.0%,13,0,1,5,6,3.4,108,86,13
Cedar,Tt3,Cedar Tt3,946755,4,5,14,18,7,1,5.6%,13,1,5,4,10,6.95,119,92,14
Cedar,Wb1,Cedar Wb1,1593442,4,14,40,64,19,2,3.1%,38,0,0,9,11,6.9,424,263,39
Cerro Gordo,Cl,Cerro Gordo Cl,946756,1,7,29,18,14,1,5.6%,28,0,2,11,14,8.75,114,188,28
Cerro Gordo,Cl1,Cerro Gordo Cl1,946757,1,9,33,22,15,1,4.5%,32,0,7,12,20,14.25,144,214,32
Cerro Gordo,Cl2,Cerro Gordo Cl2,946758,1,11,40,29,19,5,17.2%,35,0,4,11,20,13.85,193,263,39
